,OBJECTID,FIELD1,name,Stop_Abbr,Stop_Name,Bus_Stop_Type,Route_S_,Jurisdiction,OBJECTID.1,id,longitude,latitude
107,108,112,101468,101468,W END AVE @ LEE ST,Sign on Post,68,Atlanta,,,-84.41434199999998,33.74460700000003
108,109,113,102005,102005,MEMORIAL DR SE @ CAPITOL AVE,Sign Strapped to Pole,21,Atlanta,,,-84.38672699999995,33.746845000000064
109,110,114,102009,102009,MEMORIAL DR SE @ HILL ST SE,Simme Seat,9;21;107,Atlanta,,,-84.37888199999998,33.74679200000003
110,111,115,102011,102011,HILL ST SE @ WOODWARD AVE SE,Sign on Post,9,Atlanta,,,-84.37932399999994,33.74566200000004
111,112,116,102022,102022,PEACHTREE ST SW @ MITCHELL ST SW,Sign Strapped to Pole,40,Atlanta,,,-84.39305699999994,33.75078700000006
112,113,117,102026,102026,PRYOR ST SW @ MEMORIAL DR SW,Sign Strapped to Pole,42,Atlanta,,,-84.39436999999998,33.74720200000007
113,114,118,102028,102028,PRYOR ST SW @ GARNETT ST SW,Sign Strapped to Pole,42,Atlanta,,,-84.39368599999995,33.74808900000005
114,115,120,102044,102044,DECATUR ST SE @ COLLINS ST SE,Sign Strapped to Pole,26,Atlanta,,,-84.38644899999997,33.75230000000005
115,116,121,102046,102046,DECATUR ST @ PIEDMONT AVE,Sign Strapped to Pole,26,Atlanta,,,-84.38494499999996,33.75143000000003
116,117,122,102052,102052,PRYOR ST SW @ ALICE ST SW,Sign on Post,42,Atlanta,,,-84.39453999999995,33.74293300000005
117,118,123,102053,102053,PRYOR ST SW @ FULTON ST SW,Sign on Post,42,Atlanta,,,-84.39454999999998,33.742020000000025
118,119,124,102054,102054,CENTRAL AVE SW @ ALICE ST SW,Shelter,42,Atlanta,,,-84.39332199999996,33.742935000000045
119,120,125,102074,102074,FORSYTH ST SW @ TRINITY AVE SW,Sign on Post,3;813,Atlanta,,,-84.39517699999999,33.75058500000006
120,121,126,102078,102078,TRINITY AVE SW @ TED TURNER DR SW,Sign Strapped to Pole,813,Atlanta,,,-84.39626399999997,33.75051300000007
